profit_inv,profit_sym,q_T_inv,q_T_sym
62.92436582942099,44.98103500031334,5,19
54.86959508069259,65.9425434032928,-1,-11
72.90165414322982,72.36284346050616,3,11
65.73548745442203,66.03243448637045,1,3
63.02160282857676,77.76262013410377,-2,4
76.92953497994111,79.06358185350638,0,-5
56.685678425096455,69.8148546715471,5,-1
54.86985914940453,53.47948583779328,-4,-7
69.6250462941756,49.39086218024977,-1,8
67.46750923780641,80.19254832671811,3,7
54.068115796209156,76.32023705846336,3,17
63.3283732513282,77.55947720805597,1,-3
69.31193257341909,76.80862707367373,0,-8
56.773905866609596,41.8056392165945,5,14
60.59842012489355,66.34104233542507,-1,6
50.867268968623875,44.82701797073696,7,16
65.62205915861477,94.05962815793896,1,-6
52.754360905995895,63.14228579181372,-5,0
63.82878189948673,83.53513060325412,-2,-3
62.29776919140761,65.82929156032253,-1,6
56.56289364086797,68.83269209784999,-2,-2
71.13908986094438,66.64426764120242,2,-8
61.22039834150905,72.79489444918215,-2,-2
61.05767511830004,62.941547242451634,2,19
62.73546203826419,69.8328328881621,0,13
51.263460747612726,39.11622907139804,-7,-12
71.23053300056603,70.46264425961044,-5,-12
71.57648943379718,67.74987335452124,-3,-1
72.70920935020996,90.50073349211357,4,-1
67.77584922901497,43.98089421000054,-1,14
62.22025376206278,64.52054292095539,4,2
69.26748414762567,93.17754796397071,1,12
58.397627918757806,73.6871659398011,0,-3
51.099160534039015,60.73812273577954,2,-4
61.25924468675714,81.71463118878432,-2,-11
57.68772893143537,71.84868830871608,0,-9
74.26185697689942,109.43321701129815,-4,5
58.07862578302212,30.183322868554114,-4,-17
72.90490219706666,79.31046813275023,-1,-1
58.50155562903463,56.74236832790348,0,-8
71.87703935460553,89.15602841951551,-3,5
62.82870218785612,66.81145413401963,3,1
62.24851089120466,79.45727203226454,3,8
63.67337853749993,72.3808216771215,0,-1
66.23815638215848,69.48048168591305,-3,-1
68.240622958563,71.38068088680899,-3,-4
71.85595435680352,73.59189231344669,4,8
65.63175152313403,70.75327389204898,1,3
59.61324799355367,80.35194789957006,-2,11
77.14225489635385,66.05281707967345,-3,3
61.86605504350398,96.61540386686215,1,15
60.590861128779636,64.0267703624686,2,2
60.18182711965366,67.41069161551297,2,7
75.537307056091,83.32420075724161,2,-1
56.77255728243267,60.56853186627313,6,25
65.33710010731085,56.629116484932865,-3,-9
50.43944638613539,58.66833266537884,5,2
64.49185947538152,69.65785947538154,1,7
66.96860859708593,79.82221890785303,2,-5
57.829956855285644,59.491095666222805,-1,9
59.595305921799735,90.87884983094364,0,14
62.819653817252856,82.65843295256286,0,-12
59.652004054827856,66.75751948417286,0,-3
72.1847422914683,68.79375749802927,6,5
72.98880812395873,73.61765745002606,-1,-7
64.80048531868653,76.26091986533993,-1,-6
60.1673749047264,59.28016582021067,1,1
57.13452065523387,31.039637925942543,-1,-14
57.1542565865218,-25.148383853467294,4,29
67.62634816114735,72.04404431480066,5,11
58.59649935418679,54.64681312092398,2,17
60.67576176950041,71.96434452837367,-1,2
64.02811660452358,52.52789715405106,3,21
63.89121596380295,71.11581639095022,5,-2
57.419013130133465,75.63110849389273,3,17
59.78816299575152,64.65417735722866,-2,-3
69.22491244343286,68.10222455677092,-3,9
68.6102832933314,69.82504596819888,3,-6
59.352090706028264,55.77039705085724,-2,-4
55.883953222512204,57.2798842395851,0,5
49.78671953015282,54.91946453674626,-1,-2
66.2748365209361,76.79064885705816,1,0
60.7799896933507,61.895258722257154,-1,-3
74.18361105879842,90.64994176831499,-1,8
71.30743364128676,67.60604762159686,-4,1
49.031334318777056,54.574900254460886,1,-3
67.55049274059371,78.88620406403822,-2,7
57.82967100318933,68.68348382164847,-4,1
65.85745130956042,66.9606624102214,-5,4
65.83386310815501,57.55734440878268,-2,-20
64.39240939618958,65.06046320932491,2,1
70.72069605660056,74.77479343650441,-3,-6
63.16976919140771,72.37063038047022,2,2
57.76189892703968,70.31103160672097,1,-5
66.3486373200401,75.45613508111131,7,3
65.86561719005391,59.92555103158611,0,-8
63.56725953057173,56.495482048659824,-3,6
65.85202253141586,67.87091211745597,-3,1
64.7192382295247,61.4350382203138,-4,-13
59.51610554984279,80.09487032367599,2,8
62.793544900330815,69.11793918701198,0,-2
70.01895601020168,78.51347026848589,1,-13
62.05200453716512,68.15375482993022,-1,-1
58.09609812793559,57.35179710604763,-5,-5
69.05656503031707,75.76474293016588,-4,-10
60.52906363647216,82.73813273898983,3,-1
58.912712916559826,70.00242375766743,6,18
57.95333512709141,71.82051879544883,2,-6
61.270614728341485,41.35561001130122,3,-19
61.019747408023136,64.53852113757114,-2,4
